name,id,hp,number,images,types,nationalPokedexNumbers
Weedle,swsh35-2,60.0,2,"{'small': 'https://images.pokemontcg.io/swsh35/2.png', 'large': 'https://images.pokemontcg.io/swsh35/2_hires.png'}",['Grass'],[13]
Butterfree,xy2-3,130.0,3,"{'small': 'https://images.pokemontcg.io/xy2/3.png', 'large': 'https://images.pokemontcg.io/xy2/3_hires.png'}",['Grass'],[12]
Weedle,sm9-3,50.0,3,"{'small': 'https://images.pokemontcg.io/sm9/3.png', 'large': 'https://images.pokemontcg.io/sm9/3_hires.png'}",['Grass'],[13]
Metapod,sm1-2,80.0,2,"{'small': 'https://images.pokemontcg.io/sm1/2.png', 'large': 'https://images.pokemontcg.io/sm1/2_hires.png'}",['Grass'],[11]
Magmar,mcd19-3,80.0,3,"{'small': 'https://images.pokemontcg.io/mcd19/3.png', 'large': 'https://images.pokemontcg.io/mcd19/3_hires.png'}",['Fire'],[126]
Charizard,dp3-3,130.0,3,"{'small': 'https://images.pokemontcg.io/dp3/3.png', 'large': 'https://images.pokemontcg.io/dp3/3_hires.png'}",['Fire'],[6]
Alakazam,base1-1,80.0,1,"{'small': 'https://images.pokemontcg.io/base1/1.png', 'large': 'https://images.pokemontcg.io/base1/1_hires.png'}",['Psychic'],[65]
Altaria,ex8-1,70.0,1,"{'small': 'https://images.pokemontcg.io/ex8/1.png', 'large': 'https://images.pokemontcg.io/ex8/1_hires.png'}",['Colorless'],[334]
Ho-Oh,pop5-1,80.0,1,"{'small': 'https://images.pokemontcg.io/pop5/1.png', 'large': 'https://images.pokemontcg.io/pop5/1_hires.png'}",['Fire'],[250]
Shuckle,xy10-1,80.0,1,"{'small': 'https://images.pokemontcg.io/xy10/1.png', 'large': 'https://images.pokemontcg.io/xy10/1_hires.png'}",['Grass'],[213]
Ampharos,ecard2-H1,100.0,H1,"{'small': 'https://images.pokemontcg.io/ecard2/H1.png', 'large': 'https://images.pokemontcg.io/ecard2/H1_hires.png'}",['Lightning'],[181]
Alakazam,base4-1,80.0,1,"{'small': 'https://images.pokemontcg.io/base4/1.png', 'large': 'https://images.pokemontcg.io/base4/1_hires.png'}",['Psychic'],[65]
Beedrill δ,ex11-1,90.0,1,"{'small': 'https://images.pokemontcg.io/ex11/1.png', 'large': 'https://images.pokemontcg.io/ex11/1_hires.png'}","['Grass', 'Metal']",[15]
Articuno,base3-2,70.0,2,"{'small': 'https://images.pokemontcg.io/base3/2.png', 'large': 'https://images.pokemontcg.io/base3/2_hires.png'}",['Water'],[144]
Brock's Rhydon,gym1-2,80.0,2,"{'small': 'https://images.pokemontcg.io/gym1/2.png', 'large': 'https://images.pokemontcg.io/gym1/2_hires.png'}",['Fighting'],[112]
Banette,ex14-1,70.0,1,"{'small': 'https://images.pokemontcg.io/ex14/1.png', 'large': 'https://images.pokemontcg.io/ex14/1_hires.png'}",['Psychic'],[354]
Caterpie,sm115-1,60.0,1,"{'small': 'https://images.pokemontcg.io/sm115/1.png', 'large': 'https://images.pokemontcg.io/sm115/1_hires.png'}",['Grass'],[10]
Clefable,col1-1,80.0,1,"{'small': 'https://images.pokemontcg.io/col1/1.png', 'large': 'https://images.pokemontcg.io/col1/1_hires.png'}",['Colorless'],[36]
Blaziken,ex9-1,110.0,1,"{'small': 'https://images.pokemontcg.io/ex9/1.png', 'large': 'https://images.pokemontcg.io/ex9/1_hires.png'}",['Fire'],[257]
Surskit,bw10-1,50.0,1,"{'small': 'https://images.pokemontcg.io/bw10/1.png', 'large': 'https://images.pokemontcg.io/bw10/1_hires.png'}",['Grass'],[283]
Deoxys,ex9-2,70.0,2,"{'small': 'https://images.pokemontcg.io/ex9/2.png', 'large': 'https://images.pokemontcg.io/ex9/2_hires.png'}",['Psychic'],[386]
Ninetales,ru1-3,90.0,3,"{'small': 'https://images.pokemontcg.io/ru1/3.png', 'large': 'https://images.pokemontcg.io/ru1/3_hires.png'}",['Fire'],[38]
Beedrill,xy5-3,120.0,3,"{'small': 'https://images.pokemontcg.io/xy5/3.png', 'large': 'https://images.pokemontcg.io/xy5/3_hires.png'}",['Grass'],[15]
Drifblim FB,pl3-3,80.0,3,"{'small': 'https://images.pokemontcg.io/pl3/3.png', 'large': 'https://images.pokemontcg.io/pl3/3_hires.png'}",['Psychic'],[426]
Gloom,xy7-2,80.0,2,"{'small': 'https://images.pokemontcg.io/xy7/2.png', 'large': 'https://images.pokemontcg.io/xy7/2_hires.png'}",['Grass'],[44]
Masquerain,bw10-2,80.0,2,"{'small': 'https://images.pokemontcg.io/bw10/2.png', 'large': 'https://images.pokemontcg.io/bw10/2_hires.png'}",['Grass'],[284]
Cradily,ex12-3,100.0,3,"{'small': 'https://images.pokemontcg.io/ex12/3.png', 'large': 'https://images.pokemontcg.io/ex12/3_hires.png'}",['Grass'],[346]
Tangrowth,xy11-2,130.0,2,"{'small': 'https://images.pokemontcg.io/xy11/2.png', 'large': 'https://images.pokemontcg.io/xy11/2_hires.png'}",['Grass'],[465]
Crawdaunt,ex3-3,80.0,3,"{'small': 'https://images.pokemontcg.io/ex3/3.png', 'large': 'https://images.pokemontcg.io/ex3/3_hires.png'}",['Water'],[342]
Dragonair,dv1-3,70.0,3,"{'small': 'https://images.pokemontcg.io/dv1/3.png', 'large': 'https://images.pokemontcg.io/dv1/3_hires.png'}",['Dragon'],[148]
Venonat,xy4-1,60.0,1,"{'small': 'https://images.pokemontcg.io/xy4/1.png', 'large': 'https://images.pokemontcg.io/xy4/1_hires.png'}",['Grass'],[48]
Pinsir,bw4-1,80.0,1,"{'small': 'https://images.pokemontcg.io/bw4/1.png', 'large': 'https://images.pokemontcg.io/bw4/1_hires.png'}",['Grass'],[127]
Oddish,bw7-1,50.0,1,"{'small': 'https://images.pokemontcg.io/bw7/1.png', 'large': 'https://images.pokemontcg.io/bw7/1_hires.png'}",['Grass'],[43]
Exeggcute,sm5-1,50.0,1,"{'small': 'https://images.pokemontcg.io/sm5/1.png', 'large': 'https://images.pokemontcg.io/sm5/1_hires.png'}",['Grass'],[102]
Tangela,sm8-1,80.0,1,"{'small': 'https://images.pokemontcg.io/sm8/1.png', 'large': 'https://images.pokemontcg.io/sm8/1_hires.png'}",['Grass'],[114]
Aggron,hgss4-1,140.0,1,"{'small': 'https://images.pokemontcg.io/hgss4/1.png', 'large': 'https://images.pokemontcg.io/hgss4/1_hires.png'}",['Metal'],[306]
Weedle,xy5-1,50.0,1,"{'small': 'https://images.pokemontcg.io/xy5/1.png', 'large': 'https://images.pokemontcg.io/xy5/1_hires.png'}",['Grass'],[13]
Ampharos,pl1-1,130.0,1,"{'small': 'https://images.pokemontcg.io/pl1/1.png', 'large': 'https://images.pokemontcg.io/pl1/1_hires.png'}",['Lightning'],[181]
Bulbasaur,det1-1,60.0,1,"{'small': 'https://images.pokemontcg.io/det1/1.png', 'large': 'https://images.pokemontcg.io/det1/1_hires.png'}",['Grass'],[1]
Dratini,dv1-1,40.0,1,"{'small': 'https://images.pokemontcg.io/dv1/1.png', 'large': 'https://images.pokemontcg.io/dv1/1_hires.png'}",['Dragon'],[147]
Absol G,pl3-1,70.0,1,"{'small': 'https://images.pokemontcg.io/pl3/1.png', 'large': 'https://images.pokemontcg.io/pl3/1_hires.png'}",['Darkness'],[359]
Caterpie,xy2-1,40.0,1,"{'small': 'https://images.pokemontcg.io/xy2/1.png', 'large': 'https://images.pokemontcg.io/xy2/1_hires.png'}",['Grass'],[10]
Bastiodon,pop6-1,130.0,1,"{'small': 'https://images.pokemontcg.io/pop6/1.png', 'large': 'https://images.pokemontcg.io/pop6/1_hires.png'}",['Metal'],[411]
Arcanine,ecard2-H2,90.0,H2,"{'small': 'https://images.pokemontcg.io/ecard2/H2.png', 'large': 'https://images.pokemontcg.io/ecard2/H2_hires.png'}",['Fire'],[59]
Altaria,hgss4-2,90.0,2,"{'small': 'https://images.pokemontcg.io/hgss4/2.png', 'large': 'https://images.pokemontcg.io/hgss4/2_hires.png'}",['Colorless'],[334]
Blaziken FB,pl3-2,80.0,2,"{'small': 'https://images.pokemontcg.io/pl3/2.png', 'large': 'https://images.pokemontcg.io/pl3/2_hires.png'}",['Fire'],[257]
Crobat δ,ex11-2,90.0,2,"{'small': 'https://images.pokemontcg.io/ex11/2.png', 'large': 'https://images.pokemontcg.io/ex11/2_hires.png'}","['Grass', 'Metal']",[169]
Lucario,pop6-2,90.0,2,"{'small': 'https://images.pokemontcg.io/pop6/2.png', 'large': 'https://images.pokemontcg.io/pop6/2_hires.png'}",['Fighting'],[448]
Blastoise,base4-2,100.0,2,"{'small': 'https://images.pokemontcg.io/base4/2.png', 'large': 'https://images.pokemontcg.io/base4/2_hires.png'}",['Water'],[9]
Aggron,ex12-2,110.0,2,"{'small': 'https://images.pokemontcg.io/ex12/2.png', 'large': 'https://images.pokemontcg.io/ex12/2_hires.png'}",['Metal'],[306]
Dark Ampharos,ex7-2,120.0,2,"{'small': 'https://images.pokemontcg.io/ex7/2.png', 'large': 'https://images.pokemontcg.io/ex7/2_hires.png'}","['Lightning', 'Darkness']",[181]
Tangela,xy11-1,80.0,1,"{'small': 'https://images.pokemontcg.io/xy11/1.png', 'large': 'https://images.pokemontcg.io/xy11/1_hires.png'}",['Grass'],[114]
Snivy,bw1-1,60.0,1,"{'small': 'https://images.pokemontcg.io/bw1/1.png', 'large': 'https://images.pokemontcg.io/bw1/1_hires.png'}",['Grass'],[495]
Blaine's Arcanine,gym2-1,90.0,1,"{'small': 'https://images.pokemontcg.io/gym2/1.png', 'large': 'https://images.pokemontcg.io/gym2/1_hires.png'}",['Fire'],[59]
Venusaur V,swsh35-1,220.0,1,"{'small': 'https://images.pokemontcg.io/swsh35/1.png', 'large': 'https://images.pokemontcg.io/swsh35/1_hires.png'}",['Grass'],[3]
Caterpie,sm1-1,50.0,1,"{'small': 'https://images.pokemontcg.io/sm1/1.png', 'large': 'https://images.pokemontcg.io/sm1/1_hires.png'}",['Grass'],[10]
Armaldo δ,ex13-1,110.0,1,"{'small': 'https://images.pokemontcg.io/ex13/1.png', 'large': 'https://images.pokemontcg.io/ex13/1_hires.png'}","['Fighting', 'Metal']",[348]
Manaphy,pop6-3,70.0,3,"{'small': 'https://images.pokemontcg.io/pop6/3.png', 'large': 'https://images.pokemontcg.io/pop6/3_hires.png'}",['Water'],[490]
Dragonite δ,ex11-3,100.0,3,"{'small': 'https://images.pokemontcg.io/ex11/3.png', 'large': 'https://images.pokemontcg.io/ex11/3_hires.png'}","['Lightning', 'Metal']",[149]
Cradily δ,ex13-2,100.0,2,"{'small': 'https://images.pokemontcg.io/ex13/2.png', 'large': 'https://images.pokemontcg.io/ex13/2_hires.png'}","['Darkness', 'Metal']",[346]
Blaine's Charizard,gym2-2,100.0,2,"{'small': 'https://images.pokemontcg.io/gym2/2.png', 'large': 'https://images.pokemontcg.io/gym2/2_hires.png'}",['Fire'],[6]
Morelull,det1-3,50.0,3,"{'small': 'https://images.pokemontcg.io/det1/3.png', 'large': 'https://images.pokemontcg.io/det1/3_hires.png'}",['Grass'],[755]
Gallade,pop7-2,130.0,2,"{'small': 'https://images.pokemontcg.io/pop7/2.png', 'large': 'https://images.pokemontcg.io/pop7/2_hires.png'}",['Fighting'],[475]
Deoxys,col1-2,80.0,2,"{'small': 'https://images.pokemontcg.io/col1/2.png', 'large': 'https://images.pokemontcg.io/col1/2_hires.png'}",['Psychic'],[386]
Blaziken,pl1-3,130.0,3,"{'small': 'https://images.pokemontcg.io/pl1/3.png', 'large': 'https://images.pokemontcg.io/pl1/3_hires.png'}",['Fire'],[257]
Metapod,sm115-2,90.0,2,"{'small': 'https://images.pokemontcg.io/sm115/2.png', 'large': 'https://images.pokemontcg.io/sm115/2_hires.png'}",['Grass'],[11]
Bellsprout,sm2-1,60.0,1,"{'small': 'https://images.pokemontcg.io/sm2/1.png', 'large': 'https://images.pokemontcg.io/sm2/1_hires.png'}",['Grass'],[69]
Team Aqua's Cacturne,ex4-1,80.0,1,"{'small': 'https://images.pokemontcg.io/ex4/1.png', 'large': 'https://images.pokemontcg.io/ex4/1_hires.png'}","['Grass', 'Darkness']",[332]
Weedle,bw9-1,50.0,1,"{'small': 'https://images.pokemontcg.io/bw9/1.png', 'large': 'https://images.pokemontcg.io/bw9/1_hires.png'}",['Grass'],[13]
Absol,ex3-1,70.0,1,"{'small': 'https://images.pokemontcg.io/ex3/1.png', 'large': 'https://images.pokemontcg.io/ex3/1_hires.png'}",['Darkness'],[359]
Venusaur,ru1-1,140.0,1,"{'small': 'https://images.pokemontcg.io/ru1/1.png', 'large': 'https://images.pokemontcg.io/ru1/1_hires.png'}",['Grass'],[3]
Arcanine,hgss1-1,110.0,1,"{'small': 'https://images.pokemontcg.io/hgss1/1.png', 'large': 'https://images.pokemontcg.io/hgss1/1_hires.png'}",['Fire'],[59]
Blaine's Moltres,gym1-1,90.0,1,"{'small': 'https://images.pokemontcg.io/gym1/1.png', 'large': 'https://images.pokemontcg.io/gym1/1_hires.png'}",['Fire'],[146]
Aerodactyl,base3-1,60.0,1,"{'small': 'https://images.pokemontcg.io/base3/1.png', 'large': 'https://images.pokemontcg.io/base3/1_hires.png'}",['Fighting'],[142]
Blastoise,dp3-2,120.0,2,"{'small': 'https://images.pokemontcg.io/dp3/2.png', 'large': 'https://images.pokemontcg.io/dp3/2_hires.png'}",['Water'],[9]
Metapod,xy2-2,70.0,2,"{'small': 'https://images.pokemontcg.io/xy2/2.png', 'large': 'https://images.pokemontcg.io/xy2/2_hires.png'}",['Grass'],[11]
Azumarill,hgss1-2,90.0,2,"{'small': 'https://images.pokemontcg.io/hgss1/2.png', 'large': 'https://images.pokemontcg.io/hgss1/2_hires.png'}",['Water'],[184]
Ludicolo,det1-2,140.0,2,"{'small': 'https://images.pokemontcg.io/det1/2.png', 'large': 'https://images.pokemontcg.io/det1/2_hires.png'}",['Grass'],[272]
Cherrim,ru1-2,80.0,2,"{'small': 'https://images.pokemontcg.io/ru1/2.png', 'large': 'https://images.pokemontcg.io/ru1/2_hires.png'}",['Grass'],[421]
Dialga,dp1-1,90.0,1,"{'small': 'https://images.pokemontcg.io/dp1/1.png', 'large': 'https://images.pokemontcg.io/dp1/1_hires.png'}",['Metal'],[483]
Oddish,xy7-1,50.0,1,"{'small': 'https://images.pokemontcg.io/xy7/1.png', 'large': 'https://images.pokemontcg.io/xy7/1_hires.png'}",['Grass'],[43]
Dratini,dv1-2,40.0,2,"{'small': 'https://images.pokemontcg.io/dv1/2.png', 'large': 'https://images.pokemontcg.io/dv1/2_hires.png'}",['Dragon'],[147]
Ariados,ecard2-H3,70.0,H3,"{'small': 'https://images.pokemontcg.io/ecard2/H3.png', 'large': 'https://images.pokemontcg.io/ecard2/H3_hires.png'}",['Grass'],[168]
Oddish,sm12-2,60.0,2,"{'small': 'https://images.pokemontcg.io/sm12/2.png', 'large': 'https://images.pokemontcg.io/sm12/2_hires.png'}",['Grass'],[43]
Pidgeot,si1-2,70.0,2,"{'small': 'https://images.pokemontcg.io/si1/2.png', 'large': 'https://images.pokemontcg.io/si1/2_hires.png'}",['Colorless'],[18]
Ditto,base3-3,50.0,3,"{'small': 'https://images.pokemontcg.io/base3/3.png', 'large': 'https://images.pokemontcg.io/base3/3_hires.png'}",['Colorless'],[132]
Clefable,hgss1-3,80.0,3,"{'small': 'https://images.pokemontcg.io/hgss1/3.png', 'large': 'https://images.pokemontcg.io/hgss1/3_hires.png'}",['Colorless'],[36]
Erika's Clefable,gym1-3,70.0,3,"{'small': 'https://images.pokemontcg.io/gym1/3.png', 'large': 'https://images.pokemontcg.io/gym1/3_hires.png'}",['Colorless'],[36]
Dark Alakazam,base5-1,60.0,1,"{'small': 'https://images.pokemontcg.io/base5/1.png', 'large': 'https://images.pokemontcg.io/base5/1_hires.png'}",['Psychic'],[65]
Tangela,bw11-1,70.0,1,"{'small': 'https://images.pokemontcg.io/bw11/1.png', 'large': 'https://images.pokemontcg.io/bw11/1_hires.png'}",['Grass'],[114]
Blastoise,pop3-1,120.0,1,"{'small': 'https://images.pokemontcg.io/pop3/1.png', 'large': 'https://images.pokemontcg.io/pop3/1_hires.png'}",['Water'],[9]
Blaziken,dp4-1,130.0,1,"{'small': 'https://images.pokemontcg.io/dp4/1.png', 'large': 'https://images.pokemontcg.io/dp4/1_hires.png'}",['Fire'],[257]
Bulbasaur,bw5-1,60.0,1,"{'small': 'https://images.pokemontcg.io/bw5/1.png', 'large': 'https://images.pokemontcg.io/bw5/1_hires.png'}",['Grass'],[1]
Turtwig,dpp-DP01,60.0,DP01,"{'small': 'https://images.pokemontcg.io/dpp/DP01.png', 'large': 'https://images.pokemontcg.io/dpp/DP01_hires.png'}",['Grass'],[387]
Celebi V,swsh1-1,180.0,1,"{'small': 'https://images.pokemontcg.io/swsh1/1.png', 'large': 'https://images.pokemontcg.io/swsh1/1_hires.png'}",['Grass'],[251]
Alakazam,base6-1,80.0,1,"{'small': 'https://images.pokemontcg.io/base6/1.png', 'large': 'https://images.pokemontcg.io/base6/1_hires.png'}",['Psychic'],[65]
Garchomp,pop9-1,130.0,1,"{'small': 'https://images.pokemontcg.io/pop9/1.png', 'large': 'https://images.pokemontcg.io/pop9/1_hires.png'}",['Colorless'],[445]
Alolan Sandshrew,mcd19-4,60.0,4,"{'small': 'https://images.pokemontcg.io/mcd19/4.png', 'large': 'https://images.pokemontcg.io/mcd19/4_hires.png'}",['Water'],[27]
Butterfree,sm115-3,130.0,3,"{'small': 'https://images.pokemontcg.io/sm115/3.png', 'large': 'https://images.pokemontcg.io/sm115/3_hires.png'}",['Grass'],[12]
Dragonite,base3-4,100.0,4,"{'small': 'https://images.pokemontcg.io/base3/4.png', 'large': 'https://images.pokemontcg.io/base3/4_hires.png'}",['Colorless'],[149]
Charmander,det1-4,60.0,4,"{'small': 'https://images.pokemontcg.io/det1/4.png', 'large': 'https://images.pokemontcg.io/det1/4_hires.png'}",['Fire'],[4]
Deoxys δ,pop4-2,70.0,2,"{'small': 'https://images.pokemontcg.io/pop4/2.png', 'large': 'https://images.pokemontcg.io/pop4/2_hires.png'}",['Colorless'],[386]
Delcatty,ex12-4,80.0,4,"{'small': 'https://images.pokemontcg.io/ex12/4.png', 'large': 'https://images.pokemontcg.io/ex12/4_hires.png'}",['Colorless'],[301]
Flygon,ex3-4,120.0,4,"{'small': 'https://images.pokemontcg.io/ex3/4.png', 'large': 'https://images.pokemontcg.io/ex3/4_hires.png'}",['Colorless'],[330]
Pineco,xy2-4,60.0,4,"{'small': 'https://images.pokemontcg.io/xy2/4.png', 'large': 'https://images.pokemontcg.io/xy2/4_hires.png'}",['Grass'],[204]
Espeon δ,ex11-4,70.0,4,"{'small': 'https://images.pokemontcg.io/ex11/4.png', 'large': 'https://images.pokemontcg.io/ex11/4_hires.png'}","['Psychic', 'Metal']",[196]
Brock's Ninetales,gym2-3,70.0,3,"{'small': 'https://images.pokemontcg.io/gym2/3.png', 'large': 'https://images.pokemontcg.io/gym2/3_hires.png'}",['Fire'],[38]
Metagross,pop1-2,100.0,2,"{'small': 'https://images.pokemontcg.io/pop1/2.png', 'large': 'https://images.pokemontcg.io/pop1/2_hires.png'}",['Metal'],[376]
Froslass,pl4-2,80.0,2,"{'small': 'https://images.pokemontcg.io/pl4/2.png', 'large': 'https://images.pokemontcg.io/pl4/2_hires.png'}",['Water'],[478]
Metapod,sm3-2,80.0,2,"{'small': 'https://images.pokemontcg.io/sm3/2.png', 'large': 'https://images.pokemontcg.io/sm3/2_hires.png'}",['Grass'],[11]
Lileep,bw10-3,80.0,3,"{'small': 'https://images.pokemontcg.io/bw10/3.png', 'large': 'https://images.pokemontcg.io/bw10/3_hires.png'}",['Grass'],[345]
Drapion,hgss4-4,100.0,4,"{'small': 'https://images.pokemontcg.io/hgss4/4.png', 'large': 'https://images.pokemontcg.io/hgss4/4_hires.png'}",['Darkness'],[452]
Deoxys δ,ex13-3,70.0,3,"{'small': 'https://images.pokemontcg.io/ex13/3.png', 'large': 'https://images.pokemontcg.io/ex13/3_hires.png'}",['Darkness'],[386]
Hoppip,bw6-1,30.0,1,"{'small': 'https://images.pokemontcg.io/bw6/1.png', 'large': 'https://images.pokemontcg.io/bw6/1_hires.png'}",['Grass'],[187]
Skiploom,xy11-4,70.0,4,"{'small': 'https://images.pokemontcg.io/xy11/4.png', 'large': 'https://images.pokemontcg.io/xy11/4_hires.png'}",['Grass'],[188]
Mamoswine,hgss4-5,140.0,5,"{'small': 'https://images.pokemontcg.io/hgss4/5.png', 'large': 'https://images.pokemontcg.io/hgss4/5_hires.png'}",['Water'],[473]
Yanmega,sm5-3,120.0,3,"{'small': 'https://images.pokemontcg.io/sm5/3.png', 'large': 'https://images.pokemontcg.io/sm5/3_hires.png'}",['Grass'],[469]
Electivire FB,pl3-4,90.0,4,"{'small': 'https://images.pokemontcg.io/pl3/4.png', 'large': 'https://images.pokemontcg.io/pl3/4_hires.png'}",['Lightning'],[466]
Kakuna,swsh4-2,80.0,2,"{'small': 'https://images.pokemontcg.io/swsh4/2.png', 'large': 'https://images.pokemontcg.io/swsh4/2_hires.png'}",['Grass'],[14]
Erika's Venusaur,gym2-4,90.0,4,"{'small': 'https://images.pokemontcg.io/gym2/4.png', 'large': 'https://images.pokemontcg.io/gym2/4_hires.png'}",['Grass'],[3]
Jolteon,pop3-3,70.0,3,"{'small': 'https://images.pokemontcg.io/pop3/3.png', 'large': 'https://images.pokemontcg.io/pop3/3_hires.png'}",['Lightning'],[135]
Charizard,base6-3,120.0,3,"{'small': 'https://images.pokemontcg.io/base6/3.png', 'large': 'https://images.pokemontcg.io/base6/3_hires.png'}",['Fire'],[6]
Kricketot,bw4-3,60.0,3,"{'small': 'https://images.pokemontcg.io/bw4/3.png', 'large': 'https://images.pokemontcg.io/bw4/3_hires.png'}",['Grass'],[401]
Magmortar,hgss2-2,110.0,2,"{'small': 'https://images.pokemontcg.io/hgss2/2.png', 'large': 'https://images.pokemontcg.io/hgss2/2_hires.png'}",['Fire'],[467]
Weedle,swsh4-1,40.0,1,"{'small': 'https://images.pokemontcg.io/swsh4/1.png', 'large': 'https://images.pokemontcg.io/swsh4/1_hires.png'}",['Grass'],[13]
Blaziken,pop1-1,110.0,1,"{'small': 'https://images.pokemontcg.io/pop1/1.png', 'large': 'https://images.pokemontcg.io/pop1/1_hires.png'}",['Fire'],[257]
Turtwig,bw8-1,70.0,1,"{'small': 'https://images.pokemontcg.io/bw8/1.png', 'large': 'https://images.pokemontcg.io/bw8/1_hires.png'}",['Grass'],[387]
Dark Ampharos,neo4-1,70.0,1,"{'small': 'https://images.pokemontcg.io/neo4/1.png', 'large': 'https://images.pokemontcg.io/neo4/1_hires.png'}",['Lightning'],[181]
Latias,pop7-3,80.0,3,"{'small': 'https://images.pokemontcg.io/pop7/3.png', 'large': 'https://images.pokemontcg.io/pop7/3_hires.png'}",['Colorless'],[380]
Gyarados,hgss1-4,130.0,4,"{'small': 'https://images.pokemontcg.io/hgss1/4.png', 'large': 'https://images.pokemontcg.io/hgss1/4_hires.png'}",['Water'],[130]
M Venusaur-EX,xy1-2,230.0,2,"{'small': 'https://images.pokemontcg.io/xy1/2.png', 'large': 'https://images.pokemontcg.io/xy1/2_hires.png'}",['Grass'],[3]
Beautifly,ex8-2,100.0,2,"{'small': 'https://images.pokemontcg.io/ex8/2.png', 'large': 'https://images.pokemontcg.io/ex8/2_hires.png'}",['Grass'],[267]
Chimchar,dpp-DP02,50.0,DP02,"{'small': 'https://images.pokemontcg.io/dpp/DP02.png', 'large': 'https://images.pokemontcg.io/dpp/DP02_hires.png'}",['Fire'],[390]
Dialga,col1-3,100.0,3,"{'small': 'https://images.pokemontcg.io/col1/3.png', 'large': 'https://images.pokemontcg.io/col1/3_hires.png'}",['Metal'],[483]
Tangrowth,bw11-2,120.0,2,"{'small': 'https://images.pokemontcg.io/bw11/2.png', 'large': 'https://images.pokemontcg.io/bw11/2_hires.png'}",['Grass'],[465]
Azumarill,ecard2-H4,70.0,H4,"{'small': 'https://images.pokemontcg.io/ecard2/H4.png', 'large': 'https://images.pokemontcg.io/ecard2/H4_hires.png'}",['Water'],[184]
Dark Crobat,neo4-2,70.0,2,"{'small': 'https://images.pokemontcg.io/neo4/2.png', 'large': 'https://images.pokemontcg.io/neo4/2_hires.png'}",['Grass'],[169]
Articuno,base6-2,70.0,2,"{'small': 'https://images.pokemontcg.io/base6/2.png', 'large': 'https://images.pokemontcg.io/base6/2_hires.png'}",['Water'],[144]
Onix,si1-3,90.0,3,"{'small': 'https://images.pokemontcg.io/si1/3.png', 'large': 'https://images.pokemontcg.io/si1/3_hires.png'}",['Fighting'],[95]
Charizard,base4-4,120.0,4,"{'small': 'https://images.pokemontcg.io/base4/4.png', 'large': 'https://images.pokemontcg.io/base4/4_hires.png'}",['Fire'],[6]
